segment_id,img_name,lat,long,surface_crack,major_damage,obstruction,narrowed_pathway,total_hazards,damage,risk_index,GiZ,GiP,hotspot
1,Segment 1.png,14.552682,121.0136771,0,0,0,0,0,no damage,0,-0.548912742,0.001,Not significant
2,Segment 2.png,14.5525916,121.0136668,0,0,0,0,0,no damage,0,-0.548912742,0.001,Not significant
3,Segment 3.png,14.5524805,121.0136558,0,0,0,0,0,no damage,0,-0.548912742,0.001,Not significant
4,Segment 4.png,14.5523599,121.0136457,0,0,0,0,0,no damage,0,-0.548912742,0.001,Not significant
5,Segment 5.png,14.552258,121.0136374,0,0,0,0,0,no damage,0,-0.548912742,0.001,Not significant
6,Segment 6.png,14.5521605,121.0136324,0,0,0,0,0,no damage,0,-0.548912742,0.001,Not significant
7,Segment 7.png,14.5520648,121.0136271,0,0,0,0,0,no damage,0,-0.476271465,0.001,Not significant
8,Segment 8.png,14.5519727,121.0136199,0,0,0,0,0,no damage,0,-0.476271465,0.001,Not significant
9,Segment 9.png,14.5518738,121.0136589,0,0,0,1,1,damage,2,-0.474823117,0.001,Not significant
10,Segment 10.png,14.5518007,121.0135993,0,0,0,0,0,no damage,0,-0.403630189,0.001,Not significant
11,Segment 11.png,14.5517078,121.0135859,0,0,0,1,1,damage,2,-0.474823117,0.001,Not significant
12,Segment 12.png,14.5516236,121.0135666,0,0,0,0,0,no damage,0,-0.403630189,0.001,Not significant
13,Segment 13.png,14.5514125,121.01367,1,0,0,0,1,damage,1,-0.511836159,0.001,Not significant
14,Segment 14.png,14.5514199,121.0135504,1,0,0,0,1,damage,1,-0.511836159,0.001,Not significant
15,Segment 15.png,14.5513317,121.0136394,0,0,0,0,0,no damage,0,-0.330988912,0.001,Not significant
16,Segment 16.png,14.5512465,121.0136282,0,0,0,0,0,no damage,0,-0.330988912,0.001,Not significant
17,Segment 17.png,14.5511532,121.0136206,2,0,0,1,3,damage,4,-0.509841934,0.001,Not significant
18,Segment 18.png,14.5510591,121.0136121,1,0,0,0,1,damage,1,-0.402905756,0.001,Not significant
19,Segment 19.png,14.5509465,121.0136021,0,0,0,0,0,no damage,0,-0.367309551,0.001,Not significant
20,Segment 20.png,14.5508371,121.0135911,0,0,0,0,0,no damage,0,-0.403630189,0.001,Not significant
21,Segment 21.png,14.550741,121.0135811,0,0,0,0,0,no damage,0,-0.403630189,0.001,Not significant
22,Segment 22.png,14.5506542,121.0135735,1,0,0,1,2,damage,3,-0.510461299,0.001,Not significant
23,Segment 23.png,14.5505615,121.0135647,1,0,0,0,1,damage,1,-0.43921589,0.001,Not significant
24,Segment 24.png,14.5504697,121.0135564,0,0,0,0,0,no damage,0,-0.403630189,0.001,Not significant
25,Segment 25.png,14.5503843,121.0135519,0,0,0,0,0,no damage,0,-0.330988912,0.001,Not significant
26,Segment 26.png,14.5502973,121.0135547,0,0,0,0,0,no damage,0,-0.367309551,0.001,Not significant
27,Segment 27.png,14.5502065,121.0135634,5,0,0,0,5,damage,5,-0.545568027,0.001,Not significant
28,Segment 28.png,14.5501164,121.0135776,0,0,0,0,0,no damage,0,-0.367309551,0.001,Not significant
29,Segment 29.png,14.550027,121.0135988,0,0,0,0,0,no damage,0,-0.367309551,0.001,Not significant
30,Segment 30.png,14.5499388,121.0136267,0,0,0,0,0,no damage,0,-0.548912742,0.001,Not significant
31,Segment 31.png,14.5498532,121.0136594,0,0,0,0,0,no damage,0,-0.548912742,0.001,Not significant
32,Segment 32.png,14.54977,121.0136975,0,0,0,0,0,no damage,0,-0.439950827,0.001,Not significant
33,Segment 33.png,14.5496857,121.0137356,0,0,0,0,0,no damage,0,-0.439950827,0.001,Not significant
34,Segment 34.png,14.5496018,121.0137786,3,0,0,0,3,damage,3,-0.546760094,0.001,Not significant
35,Segment 35.png,14.5495158,121.0138233,0,0,0,0,0,no damage,0,-0.439950827,0.001,Not significant
36,Segment 36.png,14.5494314,121.0138686,0,0,0,0,0,no damage,0,-0.439950827,0.001,Not significant
37,Segment 37.png,14.5493551,121.0139118,0,0,0,0,0,no damage,0,-0.512592104,0.001,Not significant
38,Segment 38.png,14.5492771,121.0139559,0,0,0,0,0,no damage,0,-0.512592104,0.001,Not significant
39,Segment 39.png,14.5491967,121.0140007,1,0,0,0,1,damage,1,-0.548146293,0.001,Not significant
40,Segment 40.png,14.5491163,121.0140455,0,0,0,0,0,no damage,0,-0.439950827,0.001,Not significant
41,Segment 41.png,14.5490354,121.01409,0,0,0,0,0,no damage,0,-0.439950827,0.001,Not significant
42,Segment 42.png,14.5489562,121.0141336,0,0,0,1,1,damage,2,-0.511125972,0.001,Not significant
43,Segment 43.png,14.5488743,121.0141782,0,0,0,0,0,no damage,0,-0.439950827,0.001,Not significant
44,Segment 44.png,14.5487936,121.0142219,1,0,0,0,1,damage,1,-0.475526025,0.001,Not significant
45,Segment 45.png,14.5487143,121.014267,0,0,0,0,0,no damage,0,-0.403630189,0.001,Not significant
46,Segment 46.png,14.5486377,121.0143123,0,0,0,0,0,no damage,0,-0.367309551,0.001,Not significant
47,Segment 47.png,14.5485588,121.0143587,3,0,0,0,3,damage,3,-0.183772143,0.001,Not significant
48,Segment 48.png,14.5484777,121.0144068,1,0,0,0,1,damage,1,-0.003494281,0.001,Not significant
49,Segment 49.png,14.5483957,121.014454,0,1,2,0,3,damage,9,-0.216683692,0.001,Not significant
50,Segment 50.png,14.5483123,121.0145001,1,0,0,1,2,damage,3,-0.111174553,0.001,Not significant
